ymd,time,gt-mal[hour-1],cl-mal[cells*m-2],bio-mal[uL*m-2],gt-XM[hour-1],cl-XM[cells*m-2],bio-XM[uL*m-2],gt-XMD[hour-1],cl-XMD[cells*m-2],bio-XMD[uL*m-2],gt-XMDF[hour-1],cl-XMDF[cells*m-2],bio-XMDF[uL*m-2]
20140101,120000,1.000000,706.7465,3.5761369E-03,1.000000,706.7462,3.5761357E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140102,120000,2.000000,719.7270,3.6418187E-03,2.000000,719.7264,3.6418159E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140103,120000,3.000000,732.9459,3.7087065E-03,3.000000,732.9451,3.7087023E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140104,120000,4.000000,746.4077,3.7768229E-03,4.000000,746.4066,3.7768173E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140105,120000,5.000000,760.1167,3.8461904E-03,5.000000,760.1152,3.8461832E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140106,120000,6.000000,774.0775,3.9168322E-03,6.000000,774.0757,3.9168228E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140107,120000,7.000000,788.2947,3.9887712E-03,7.000000,788.2925,3.9887601E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140108,120000,8.000000,802.7730,4.0620314E-03,8.000000,802.7705,4.0620188E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140109,120000,9.000000,817.5172,4.1366373E-03,9.000000,817.5143,4.1366224E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140110,120000,10.00000,832.5322,4.2126132E-03,10.00000,832.5289,4.2125965E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140111,120000,11.00000,847.8231,4.2899847E-03,11.00000,847.8193,4.2899656E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140112,120000,12.00000,863.3947,4.3687774E-03,12.00000,863.3906,4.3687560E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
20140113,120000,13.00000,879.2524,4.4490169E-03,13.00000,879.2477,4.4489936E-03,0.0000000E+00,694.0000,3.5116400E-03,0.0000000E+00,694.0000,3.5116400E-03
