ymd,time,gt-mal[hour-1],cl-mal[cells*m-2],bio-mal[uL*m-2],gt-XM[hour-1],cl-XM[cells*m-2],bio-XM[uL*m-2],gt-XMD[hour-1],cl-XMD[cells*m-2],bio-XMD[uL*m-2],gt-XMDF[hour-1],cl-XMDF[cells*m-2],bio-XMDF[uL*m-2]
19980701,003000,1.000000,6.444972,3.2611555E-05,1.000000,6.444972,3.2611555E-05,1.000000,6.444972,3.2611555E-05,1.000000,6.444972,3.2611555E-05
19980701,013000,2.000000,6.562032,3.3203880E-05,2.000000,6.562031,3.3203880E-05,2.000000,6.562031,3.3203880E-05,2.000000,6.562031,3.3203880E-05
19980701,023000,3.000000,6.681218,3.3806962E-05,3.000000,6.681218,3.3806962E-05,3.000000,6.681218,3.3806962E-05,3.000000,6.681218,3.3806962E-05
19980701,033000,4.000000,6.802568,3.4420995E-05,4.000000,6.802568,3.4420995E-05,4.000000,6.802568,3.4420995E-05,4.000000,6.802568,3.4420995E-05
19980701,043000,5.000000,6.926123,3.5046185E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05
19980701,053000,6.000000,7.051922,3.5682726E-05,6.000000,7.051922,3.5682726E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05
19980701,063000,7.000000,7.180006,3.6330832E-05,7.000000,7.180006,3.6330832E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05
19980701,073000,8.000000,7.310416,3.6990707E-05,8.000000,7.310416,3.6990707E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05
19980701,083000,9.000000,7.443195,3.7662569E-05,9.000000,7.443195,3.7662569E-05,5.000000,6.926123,3.5046181E-05,5.000000,6.926123,3.5046181E-05
19980701,093000,10.00000,7.578386,3.8346632E-05,10.00000,7.578386,3.8346632E-05,5.000000,6.926123,3.5046181E-05,0.0000000E+00,6.330000,3.2029799E-05
